id,country_id,league_id,season_x,stage,date_x,match_api_id,home_away_indicator,real_api_id,other_team_id,other_team_name,real_score,other_score,real_winprob,tie_prob,other_winprob,real_player_1_name,real_player_1_rating,real_player_1_potential,real_player_2_name,real_player_2_rating,real_player_2_potential,real_player_3_name,real_player_3_rating,real_player_3_potential,real_player_4_name,real_player_4_rating,real_player_4_potential,real_player_5_name,real_player_5_rating,real_player_5_potential,real_player_6_name,real_player_6_rating,real_player_6_potential,real_player_7_name,real_player_7_rating,real_player_7_potential,real_player_8_name,real_player_8_rating,real_player_8_potential,real_player_9_name,real_player_9_rating,real_player_9_potential,real_player_10_name,real_player_10_rating,real_player_10_potential,real_player_11_name,real_player_11_rating,real_player_11_potential,other_player_1_name,other_player_1_rating,other_player_1_potential,other_player_2_name,other_player_2_rating,other_player_2_potential,other_player_3_name,other_player_3_rating,other_player_3_potential,other_player_4_name,other_player_4_rating,other_player_4_potential,other_player_5_name,other_player_5_rating,other_player_5_potential,other_player_6_name,other_player_6_rating,other_player_6_potential,other_player_7_name,other_player_7_rating,other_player_7_potential,other_player_8_name,other_player_8_rating,other_player_8_potential,other_player_9_name,other_player_9_rating,other_player_9_potential,other_player_10_name,other_player_10_rating,other_player_10_potential,other_player_11_name,other_player_11_rating,other_player_11_potential,date_y,season_y,real_wins,real_draws,real_losses,date,season,other_wins,other_draws,other_losses,result
21626,21518,21518,2008/2009,19,2009-01-18 00:00:00,530451,1,8633,8371,CA Osasuna,3,1,0.736468130091565,0.1769410751562229,0.0865907947522121,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Arjen Robben,84.0,86.0,Fernando Gago,79.0,87.0,Lassana Diarra,81.0,82.0,Wesley Sneijder,86.0,89.0,Raul,82,89,Gonzalo Higuain,77.0,87.0,Roberto Fernandez,65.0,72.0,Cesar Azpilicueta,63.0,67.0,Jose Josetxo,72.0,75.0,Miguel Flano,71.0,76.0,Nacho Monreal,68.0,73.0,Juanfran,72.0,76.0,Patxi Martinez Punal,74.0,78.0,Javad Nekounam,73.0,82.0,Jaroslav Plasil,70.0,80.0,Masoud Shojaei,68,70,Walter Pandiani,77.0,85.0,2009-01-18 00:00:00,2008/2009,11.0,2.0,5.0,2009-01-18 00:00:00,2008/2009,2.0,7.0,9.0,2
21629,21518,21518,2008/2009,2,2008-09-14 00:00:00,530094,1,8633,8388,CD Numancia,4,3,0.7495486733089974,0.1708987935294429,0.0795525331615596,Iker Casillas,91.0,92.0,Michel Salgado,71.0,81.0,Pepe,84.0,86.0,Christoph Metzelder,80.0,88.0,Marcelo,75.0,83.0,Mahamadou Diarra,80.0,87.0,Jose Maria Guti,83.0,83.0,Rafael van der Vaart,86.0,92.0,Gonzalo Higuain,77.0,87.0,Arjen Robben,84,86,Ruud van Nistelrooy,86.0,90.0,Juan Pablo,71.0,74.0,Juan Ramon Cabrero Juanra,69.0,72.0,,,,Sergio Boris,70.0,72.0,Domingo Cisma,68.0,71.0,Txomin Nagore,72.0,72.0,Jose Javier Barkero,71.0,74.0,Mario Martinez,69.0,62.0,,,,Carlos Lorens Bellvis,72,74,Gorka Brit,72.0,75.0,2008-09-14 00:00:00,2008/2009,0.0,0.0,1.0,2008-09-14 00:00:00,2008/2009,1.0,0.0,0.0,2
21639,21518,21518,2008/2009,20,2009-01-25 00:00:00,530454,1,8633,9783,RC Deportivo de La Coruña,1,0,0.6633492188216317,0.2197598248906969,0.1168909562876713,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Pepe,84.0,86.0,Gabriel Heinze,80.0,83.0,Arjen Robben,84.0,86.0,Fernando Gago,79.0,87.0,Lassana Diarra,81.0,82.0,Wesley Sneijder,86.0,89.0,Raul,82,89,Gonzalo Higuain,77.0,87.0,Gustavo Adolfo Munua,72.0,80.0,Manuel Pablo,75.0,81.0,Alberto Lopo,76.0,82.0,Ze Castro,74.0,80.0,Filipe Luis,78.0,85.0,Antonio Tomas,68.0,80.0,Julian de Guzman,77.0,82.0,Angel Lafita,75.0,78.0,Juan Carlos Valeron,80.0,89.0,Joan Verdu,71,85,Rodolfo Bodipo Diaz,70.0,79.0,2009-01-25 00:00:00,2008/2009,12.0,2.0,5.0,2009-01-25 00:00:00,2008/2009,9.0,3.0,7.0,2
21649,21518,21518,2008/2009,21,2009-01-31 00:00:00,530464,0,8633,8388,CD Numancia,2,0,0.5818326928528128,0.2578417699538888,0.1603255371932984,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Arjen Robben,84.0,86.0,Lassana Diarra,81.0,82.0,Fernando Gago,79.0,87.0,Wesley Sneijder,86.0,89.0,Raul,82,89,Gonzalo Higuain,77.0,87.0,Juan Pablo,71.0,74.0,Juan Ramon Cabrero Juanra,69.0,72.0,Sergio Ortega,68.0,72.0,Sergio Boris,70.0,72.0,Domingo Cisma,68.0,71.0,Javier Del Pino,69.0,74.0,Txomin Nagore,72.0,72.0,Dimas Delgado,68.0,74.0,Jose Javier Barkero,71.0,74.0,Gorka Brit,72,75,Asier Goiria,71.0,74.0,2009-01-31 00:00:00,2008/2009,13.0,2.0,5.0,2009-01-31 00:00:00,2008/2009,6.0,2.0,12.0,2
21660,21518,21518,2008/2009,22,2009-02-07 00:00:00,530475,1,8633,8696,Racing Santander,1,0,0.6503258990307177,0.233480941937234,0.1161931590320481,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Arjen Robben,84.0,86.0,Lassana Diarra,81.0,82.0,Wesley Sneijder,86.0,89.0,Rafael van der Vaart,86.0,92.0,Raul,82,89,Gonzalo Higuain,77.0,87.0,Tono,79.0,79.0,Juan Valera,71.0,82.0,Oriol,75.0,78.0,Cesar Navas,67.0,70.0,Ivan Marcano,56.0,68.0,Gonzalo Colsa,79.0,79.0,Mehdi Lacen,68.0,75.0,Oscar Serrano,74.0,73.0,Jonathan Pereira,72.0,75.0,Nikola Zigic,76,81,Mohammed Tchite,76.0,78.0,2009-02-07 00:00:00,2008/2009,14.0,2.0,5.0,2009-02-07 00:00:00,2008/2009,7.0,7.0,7.0,2
21670,21518,21518,2008/2009,23,2009-02-15 00:00:00,530485,0,8633,9869,Real Sporting de Gijón,4,0,0.5759771489424024,0.2558310284374416,0.1681918226201559,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Fabio Cannavaro,85.0,91.0,Pepe,84.0,86.0,Gabriel Heinze,80.0,83.0,Gonzalo Higuain,77.0,87.0,Lassana Diarra,81.0,82.0,Fernando Gago,79.0,87.0,Marcelo,75.0,83.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,,,,Rafael Sastre,66.0,67.0,Serrabasa Gerard,68.0,69.0,Ivan Hernandez,68.0,72.0,Roberto Canella,64.0,69.0,Michel,64.0,72.0,Diego Camacho,72.0,73.0,Luis Moran,62.0,68.0,Carmelo Gonzalez,71.0,76.0,Diego Castro,64,69,David Barral,72.0,73.0,2009-02-15 00:00:00,2008/2009,15.0,2.0,5.0,2009-02-15 00:00:00,2008/2009,9.0,0.0,13.0,2
21684,21518,21518,2008/2009,24,2009-02-21 00:00:00,530499,1,8633,8603,Real Betis Balompié,6,1,0.6345867475385237,0.2302122383301459,0.1352010141313302,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Gonzalo Higuain,77.0,87.0,Lassana Diarra,81.0,82.0,Fernando Gago,79.0,87.0,Marcelo,75.0,83.0,Raul,82,89,Klaas Jan Huntelaar,84.0,90.0,Ricardo,80.0,80.0,Nelson,71.0,80.0,Melli,74.0,86.0,Arturo Arzu,68.0,75.0,Fernando Vega,67.0,68.0,Juande,63.0,73.0,Mehmet Aurelio,77.0,79.0,Abella Perez Damia,65.0,72.0,Mark Gonzalez,73.0,83.0,Achille Emana,79,78,Ricardo Oliveira,79.0,79.0,2009-02-21 00:00:00,2008/2009,16.0,2.0,5.0,2009-02-21 00:00:00,2008/2009,7.0,5.0,11.0,2
21692,21518,21518,2008/2009,25,2009-02-28 00:00:00,530548,0,8633,8558,RCD Espanyol,2,0,0.5063509451128357,0.2736841544249545,0.2199649004622097,Iker Casillas,91.0,92.0,Sergio Ramos,84.0,92.0,Pepe,84.0,88.0,Fabio Cannavaro,84.0,91.0,Gabriel Heinze,79.0,83.0,Gonzalo Higuain,82.0,87.0,Lassana Diarra,81.0,85.0,Wesley Sneijder,86.0,89.0,Arjen Robben,86.0,88.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,Carlos Kameni,81.0,89.0,Sergio Sanchez,65.0,72.0,Daniel Jarque,77.0,81.0,Nicolas Pareja,73.0,76.0,David Garcia,67.0,69.0,Hurtado Perez Moises,74.0,78.0,Luis Garcia,78.0,83.0,Roman Martinez,70.0,74.0,Ivan de la Pena,80.0,88.0,Nene,77,80,Ivan Alonso,74.0,78.0,2009-02-28 00:00:00,2008/2009,17.0,2.0,5.0,2009-02-28 00:00:00,2008/2009,4.0,9.0,11.0,2
21702,21518,21518,2008/2009,26,2009-03-07 00:00:00,530558,1,8633,9906,Atlético Madrid,1,1,0.5435907015914558,0.2606151281691009,0.1957941702394433,Iker Casillas,91.0,92.0,Lassana Diarra,81.0,85.0,Sergio Ramos,84.0,92.0,Fabio Cannavaro,84.0,91.0,Gabriel Heinze,79.0,83.0,Arjen Robben,86.0,88.0,Fernando Gago,79.0,87.0,Jose Maria Guti,83.0,85.0,Raul,82.0,89.0,Marcelo,75,83,Klaas Jan Huntelaar,84.0,90.0,Leonardo Franco,79.0,83.0,Johnny Heitinga,78.0,83.0,Pablo Ibanez,75.0,86.0,Tomas Ujfalusi,81.0,84.0,Antonio Lopez,75.0,81.0,Maxi Rodriguez,84.0,85.0,Ignacio Camacho,73.0,83.0,Paulo Assuncao,78.0,80.0,Simao,84.0,88.0,Diego Forlan,83,85,Sergio Aguero,83.0,90.0,2009-03-07 00:00:00,2008/2009,18.0,2.0,5.0,2009-03-07 00:00:00,2008/2009,11.0,6.0,8.0,1
21716,21518,21518,2008/2009,27,2009-03-14 00:00:00,530572,0,8633,8315,Athletic Club de Bilbao,5,2,0.4600864513103872,0.277868077947739,0.2620454707418738,Iker Casillas,91.0,92.0,Sergio Ramos,84.0,92.0,Christoph Metzelder,80.0,88.0,Pepe,84.0,88.0,Gabriel Heinze,79.0,83.0,Marcelo,75.0,83.0,Lassana Diarra,81.0,85.0,Wesley Sneijder,86.0,89.0,Arjen Robben,86.0,88.0,Raul,82,89,Klaas Jan Huntelaar,84.0,90.0,Gorka Iraizoz Moreno,76.0,79.0,Andoni Iraola,73.0,77.0,Aitor Ocio,75.0,78.0,Fernando Amorebieta,76.0,79.0,Koikili Campo,67.0,70.0,Javier Martinez,70.0,76.0,Pablo Orbaiz,71.0,76.0,David Lopez,73.0,79.0,Francisco Navarro Yeste,80.0,82.0,Gaizka Toquero,61,68,Fernando Llorente,77.0,83.0,2009-03-14 00:00:00,2008/2009,18.0,3.0,5.0,2009-03-14 00:00:00,2008/2009,8.0,7.0,11.0,2
21727,21518,21518,2008/2009,28,2009-03-22 00:00:00,530583,1,8633,9865,UD Almería,3,0,0.7188556858337896,0.1863561841169028,0.0947881300493077,Iker Casillas,91.0,92.0,Sergio Ramos,84.0,92.0,Fabio Cannavaro,84.0,91.0,Pepe,84.0,88.0,Gabriel Heinze,79.0,83.0,Arjen Robben,86.0,88.0,Lassana Diarra,81.0,85.0,Wesley Sneijder,86.0,89.0,Marcelo,75.0,83.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,Diego Alves,81.0,85.0,Bruno Saltor,68.0,71.0,Santiago Acasiete,72.0,79.0,Hernan Pellerano,71.0,78.0,Mane,67.0,72.0,Juanito,72.0,79.0,Juanma Ortiz,77.0,79.0,Iriney,71.0,76.0,Albert Crusat,73.0,77.0,Pablo Piatti,70,79,Kalu Uche,71.0,79.0,2009-03-22 00:00:00,2008/2009,19.0,3.0,5.0,2009-03-22 00:00:00,2008/2009,8.0,7.0,12.0,2
21734,21518,21518,2008/2009,29,2009-04-04 00:00:00,530590,0,8633,9864,Málaga CF,1,0,0.5288339755638017,0.2651048485156141,0.2060611759205841,Iker Casillas,91.0,92.0,Sergio Ramos,84.0,92.0,Pepe,84.0,88.0,Christoph Metzelder,80.0,88.0,Miguel Torres,75.0,83.0,Fernando Gago,79.0,87.0,Wesley Sneijder,86.0,89.0,Gonzalo Higuain,82.0,87.0,Rafael van der Vaart,85.0,90.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,Inaki Goitia,64.0,66.0,"Manolo Gaspar,28",66.0,70.0,Jesus Gamez,71.0,75.0,Weligton,68.0,72.0,Javier Calleja,71.0,73.0,Antonio Apono,65.0,73.0,Lolo,67.0,72.0,Eliseu,71.0,76.0,Nabil Baha,72.0,75.0,Duda,74,78,Adrian Lopez,69.0,83.0,2009-04-04 00:00:00,2008/2009,20.0,3.0,5.0,2009-04-04 00:00:00,2008/2009,12.0,7.0,9.0,2
21744,21518,21518,2008/2009,3,2008-09-21 00:00:00,530109,0,8633,8696,Racing Santander,2,0,0.4512242044885478,0.2795777210250307,0.2691980744864213,Iker Casillas,91.0,92.0,Sergio Ramos,85.0,92.0,Pepe,84.0,86.0,Fabio Cannavaro,85.0,91.0,Gabriel Heinze,80.0,83.0,Jose Maria Guti,83.0,83.0,Mahamadou Diarra,80.0,87.0,,,,Gonzalo Higuain,77.0,87.0,Ruud van Nistelrooy,86,90,Raul,82.0,89.0,Tono,79.0,79.0,Pablo Pinillos,74.0,80.0,Cesar Navas,67.0,70.0,Ivan Marcano,56.0,68.0,Christian Fernandez,57.0,61.0,Juan Valera,71.0,82.0,Gonzalo Colsa,79.0,79.0,Mehdi Lacen,68.0,75.0,Oscar Serrano,74.0,73.0,Juanjo,63,68,Jonathan Pereira,72.0,75.0,2008-09-21 00:00:00,2008/2009,1.0,0.0,1.0,2008-09-21 00:00:00,2008/2009,0.0,2.0,0.0,2
21755,21518,21518,2008/2009,30,2009-04-12 00:00:00,530601,1,8633,10281,Real Valladolid,2,0,0.7409358360395827,0.1728043371148663,0.0862598268455509,Iker Casillas,91.0,92.0,Miguel Torres,75.0,83.0,Pepe,84.0,88.0,Fabio Cannavaro,84.0,91.0,Gabriel Heinze,79.0,83.0,Lassana Diarra,81.0,85.0,Wesley Sneijder,86.0,89.0,Gonzalo Higuain,82.0,87.0,Raul,82.0,89.0,Arjen Robben,86,88,Klaas Jan Huntelaar,84.0,90.0,Sergio Asenjo,79.0,84.0,Pedro Lopez,73.0,77.0,Luis Prieto,73.0,75.0,Jauregi Inaki Bea,67.0,77.0,Alberto Rey,71.0,76.0,Alvaro Rubio,74.0,78.0,Borja Fernandez,73.0,79.0,Pedro Leon,76.0,79.0,Fabian Canobbio,74.0,79.0,Damian Escudero,72,79,Henok Goitom,74.0,78.0,2009-04-12 00:00:00,2008/2009,21.0,3.0,5.0,2009-04-12 00:00:00,2008/2009,12.0,3.0,14.0,2
21765,21518,21518,2008/2009,31,2009-04-18 00:00:00,530611,0,8633,8479,RC Recreativo,1,0,0.5941813487125952,0.2473033605240669,0.1585152907633377,Iker Casillas,91.0,92.0,Sergio Ramos,84.0,92.0,Pepe,84.0,88.0,Fabio Cannavaro,84.0,91.0,Marcelo,75.0,83.0,Gonzalo Higuain,82.0,87.0,Fernando Gago,79.0,87.0,Lassana Diarra,81.0,85.0,Arjen Robben,86.0,88.0,Klaas Jan Huntelaar,84,90,Raul,82.0,89.0,Asier Riesgo,71.0,75.0,Iago Bouzon,74.0,84.0,Nasief Morris,75.0,77.0,Andres Lamas,71.0,74.0,Jose Manuel Casado,63.0,73.0,Jesus Vazquez,76.0,78.0,Rafael Barber,71.0,79.0,"Fernandez Aitor Tornavaca,29",72.0,75.0,Javier Camunas,74.0,75.0,Sisi,75,79,Adrian Colunga,70.0,76.0,2009-04-18 00:00:00,2008/2009,22.0,3.0,5.0,2009-04-18 00:00:00,2008/2009,7.0,9.0,14.0,2
